step	sum_reward
37	0.8333333134651184
38	0.8333333134651184
39	0.8333333134651184
40	0.8333333134651184
41	0.8333333134651184
42	0.8333333134651184
43	0.8333333134651184
44	0.8333333134651184
45	0.8333333134651184
46	0.8333333134651184
47	0.8333333134651184
48	0.8333333134651184
49	0.8333333134651184
50	0.8333333134651184
51	0.8333333134651184
52	0.8333333134651184
53	0.8333333134651184
54	0.8333333134651184
55	0.8333333134651184
56	0.8333333134651184
57	0.8333333134651184
58	0.8333333134651184
59	0.8333333134651184
60	0.8333333134651184
61	0.8333333134651184
62	0.8333333134651184
63	0.8333333134651184
64	0.8333333134651184
65	0.8333333134651184
66	0.8333333134651184
67	0.8333333134651184
68	0.8333333134651184
69	0.8333333134651184
70	0.8333333134651184
71	0.8333333134651184
72	8.250000149011612
73	8.250000149011612
74	8.250000149011612
75	8.250000149011612
76	8.250000149011612
77	8.250000149011612
78	8.250000149011612
79	8.250000149011612
80	8.250000149011612
81	8.250000149011612
82	8.250000149011612
83	8.250000149011612
84	8.250000149011612
85	8.250000149011612
86	8.250000149011612
87	8.250000149011612
88	8.250000149011612
89	8.250000149011612
90	8.250000149011612
91	8.250000149011612
92	8.250000149011612
93	8.250000149011612
94	8.250000149011612
95	8.250000149011612
96	8.250000149011612
97	8.250000149011612
98	8.250000149011612
99	9.888889094193777
